SRA accession	Category	Sample Description
SRR548277	aerial	Aerial part of 4-week-old plant
SRR847503	aerial	Aerial part of 3-week-old soil-grown plant
SRR847504	aerial	Aerial part of 3-week-old soil-grown plant
SRR847505	aerial	Aerial part of 3-week-old soil-grown plant
SRR847506	aerial	Aerial part of 3-week-old soil-grown plant
SRR547531	aerial	Aerial part of 4-week-old plant
ERR274310	aerial	Aerial part of long-day-grown 4-leaf-stage seedling with mock (NaCl) treatment
SRR1207194	carpel	Carpels collected manually from stage 8-13 flowers
SRR1207195	carpel	Carpels collected manually from stage 8-13 flowers
SRR1019436	dark-grown seedling	5do etiolated seedling
SRR1019437	dark-grown seedling	5do etiolated seedling
SRR1049784	dark-grown seedling	7do dark-grown seedling
SRR477075	dark-grown seedling	5do dark-grown seedling
SRR477076	dark-grown seedling	5do dark-grown seedling
SRR493237	dark-grown seedling	3do etiolated seedling
SRR493238	dark-grown seedling	3do etiolated seedling
SRR314815	stage 12 inflorescence	stage-12 floral buds from long-day grown plant
SRR800753	stage 12 inflorescence	stage-12 floral bud
SRR800754	stage 12 inflorescence	stage-12 floral bud
SRR446027	leaf	Leaf of 6-week-old short-day-grown plant infiltrated with mock (virulent bacterium) and harvested 1h post-infiltration
SRR446028	leaf	Leaf of 6-week-old short-day-grown plant infiltrated with mock (virulent bacterium) and harvested 1h post-infiltration
SRR446033	leaf	Leaf of 6-week-old short-day-grown plant infiltrated with mock (virulent bacterium) and harvested 6h post-infiltration
SRR446034	leaf	Leaf of 6-week-old short-day-grown plant infiltrated with mock (virulent bacterium) and harvested 6h post-infiltration
SRR446039	leaf	Leaf of 6-week-old short-day-grown plant infiltrated with mock (virulent bacterium) and harvested 12h post-infiltration
SRR446040	leaf	Leaf of 6-week-old short-day-grown plant infiltrated with mock (virulent bacterium) and harvested 12h post-infiltration
SRR764885	leaf	Leaf of 4-week-old long-day-grown plant
SRR934391	leaf	Leaf of 2-week-old long-day-grown plant
SRR1105822	leaf	Leaf of 3-week-old long-day-grown plant
SRR1105823	leaf	Leaf of 3-week-old long-day-grown plant
SRR314813	leaf	Leaf of 11-day-old plant
SRR446484	leaf	Non-dividing tissues (oldest 4-6 leaves) of 4-week-old short-day-grown plant
SRR446485	leaf	Dividing tissues (meristem and younger leaves) of 4-week-old short-day-grown plant
SRR446486	leaf	Non-dividing tissues (oldest 4-6 leaves) of 4-week-old short-day-grown plant
SRR446487	leaf	Dividing tissues (meristem and younger leaves) of 4-week-old short-day-grown plant
SRR493036	leaf	Leaf of 2-week-old plant
SRR924656	leaf	Leaf of 3-week-old plant
SRR942022	leaf	Leaf of 3-week-old long-day-grown plant
SRR1159827	leaf	Leaf of 20-day-old plant
SRR1159821	leaf	Leaf of 20-day-old plant
SRR1159837	leaf	Leaf of 20-day-old plant
SRR493097	leaf	Leaf of 5-week-old short-day-grown plant
SRR493098	leaf	Leaf of 5-week-old short-day-grown plant
SRR493101	leaf	Leaf of 5-week-old short-day-grown plant
SRR1019221	light-grown seedling	15-d-old long-day plate-grown seedling
SRR070570	light-grown seedling	4-day-old 24h-light-grown seedling
SRR070571	light-grown seedling	4-day-old 24h-light-grown seedling
SRR1001909	light-grown seedling	10-day-old long-day plate-grown seedling
SRR1001910	light-grown seedling	10-day-old long-day plate-grown seedling
SRR345561	light-grown seedling	7-day-old plate-grown long-day seedlings
SRR345562	light-grown seedling	7-day-old plate-grown long-day seedlings
SRR346552	light-grown seedling	7-day-old plate-grown long-day seedlings
SRR346553	light-grown seedling	7-day-old plate-grown long-day seedlings
SRR394082	light-grown seedling	10-day-old long-day plate-grown seedling
SRR504179	light-grown seedling	2-week-old long-day seedling
SRR504180	light-grown seedling	2-week-old long-day seedling
SRR504181	light-grown seedling	2-week-old long-day seedling
SRR515073	light-grown seedling	7-day-old plate-grown, long-day-grown seedling
SRR515074	light-grown seedling	7-day-old plate-grown, long-day-grown seedling
SRR527164	light-grown seedling	7-day-old, plate-grown, long-day-grown seedling
SRR527165	light-grown seedling	7-day-old, plate-grown, long-day-grown seedling
SRR584115	light-grown seedling	11-day-old light-grown plate-grown seedling
SRR584121	light-grown seedling	11-day-old light-grown plate-grown seedling
SRR584129	light-grown seedling	11-day-old light-grown plate-grown seedling
SRR584134	light-grown seedling	11-day-old light-grown plate-grown seedling
SRR653555	light-grown seedling	9 day-old 24h-light-grown seedling
SRR653556	light-grown seedling	9 day-old 24h-light-grown seedling
SRR653557	light-grown seedling	9 day-old 24h-light-grown seedling
SRR653561	light-grown seedling	9 day-old long-day-grown seedling harvested 2h after light on the 9th day
SRR653562	light-grown seedling	9 day-old long-day-grown seedling harvested 2h after light on the 9th day
SRR653563	light-grown seedling	9 day-old long-day-grown seedling harvested 2h after light on the 9th day
SRR653564	light-grown seedling	9 day-old long-day-grown seedling harvested 6h after light on the 9th day
SRR653565	light-grown seedling	9 day-old long-day-grown seedling harvested 6h after light on the 9th day
SRR653566	light-grown seedling	9 day-old long-day-grown seedling harvested 6h after light on the 9th day
SRR653567	light-grown seedling	9 day-old long-day-grown seedling harvested 10h after light on the 9th day
SRR653568	light-grown seedling	9 day-old long-day-grown seedling harvested 10h after light on the 9th day
SRR653569	light-grown seedling	9 day-old long-day-grown seedling harvested 10h after light on the 9th day
SRR653570	light-grown seedling	9 day-old long-day-grown seedling harvested 14h after light on the 9th day
SRR653571	light-grown seedling	9 day-old long-day-grown seedling harvested 14h after light on the 9th day
